eco,name,fen,white,draw,black
B03,"Alekhine Defense: Four Pawns Attack, Main Line",rnbqkb1r/pppppppp/8/3nP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,57,64,14
B03,"Alekhine Defense: Four Pawns Attack, Main Line",rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,55,58,12
B03,"Alekhine Defense: Four Pawns Attack, Main Line",rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,68,84,20
B03,"Alekhine Defense: Four Pawns Attack, Main Line",rnbqkb1r/ppp1pppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR b KQkq - 0 4,26,11,4
B03,"Alekhine Defense: Four Pawns Attack, Main Line",rnbqkb1r/ppp1pppp/1n1p4/4P3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5,27,14,7
B03,"Alekhine Defense: Four Pawns Attack, Main Line",rnbqkb1r/pppppppp/5n2/4P3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,63,75,18
B03,"Alekhine Defense: Four Pawns Attack, Main Line",rnbqkb1r/pppppppp/8/3nP3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3,62,75,18
B04,"Alekhine Defense: Modern Variation, Alburt Variation",rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4,29,47,8
B05,"Alekhine Defense: Modern Variation, Main Line",rn1qkb1r/ppp1pppp/3p4/3nP3/3P2b1/5N2/PPP1BPPP/RNBQK2R b KQkq - 3 5,16,25,0
B05,"Alekhine Defense: Modern Variation, Main Line",rn1qkb1r/ppp1pppp/3p4/3nP3/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 5,16,27,0
A58,"Benko Gambit Accepted: Fully Accepted Variation",rnbqkb1r/3ppppp/p4n2/1PpP4/8/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,20,20,9
A58,"Benko Gambit Accepted: Fully Accepted Variation",rnbqkb1r/3ppppp/P4n2/2pP4/8/8/PP2PPPP/RNBQKBNR b KQkq - 0 5,9,12,5
A58,"Benko Gambit Accepted: Fully Accepted Variation",rnbqkb1r/p2ppppp/5n2/1PpP4/8/8/PP2PPPP/RNBQKBNR b KQkq - 0 4,20,20,9
A57,"Benko Gambit Declined: Main Line",rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,33,28,12
A57,"Benko Gambit Declined: Main Line",rnbqkb1r/pp1ppppp/5n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,111,114,25
A56,"Benoni Defense",rnbqkb1r/pp1ppp1p/5np1/2pP4/2P5/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 4,18,19,4
A56,"Benoni Defense",rnbqkb1r/pp1ppp1p/5np1/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,17,16,3
A56,"Benoni Defense",rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 6,19,22,4
A43,"Benoni Defense: Benoni-Indian Defense",rnbqkbnr/pp1ppppp/8/2pP4/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,27,28,4
A43,"Benoni Defense: Benoni-Indian Defense",rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,33,31,5
A78,"Benoni Defense: Classical Variation, Czerniak Defense",rnbqkb1r/pp1p1ppp/5n2/2pp4/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,38,33,8
A78,"Benoni Defense: Classical Variation, Czerniak Defense",rnbqkb1r/pp3p1p/3p1np1/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 7,18,17,6
A78,"Benoni Defense: Classical Variation, Czerniak Defense",rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 4,42,41,10
A78,"Benoni Defense: Classical Variation, Czerniak Defense",rnbqkb1r/pp3ppp/3p1n2/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 6,25,22,6
A78,"Benoni Defense: Classical Variation, Czerniak Defense",rnbqkb1r/pp1p1ppp/5n2/2pP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 5,38,33,8
A78,"Benoni Defense: Classical Variation, Czerniak Defense",rnbqkb1r/pp3ppp/3p1n2/2pP4/8/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 6,34,31,8
A56,"Benoni Defense: Czech Benoni Defense",rnbqkb1r/pp1p1ppp/5n2/2pPp3/2P5/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 4,13,17,2
A56,"Benoni Defense: Czech Benoni Defense",rnbqkb1r/pp3ppp/3p1n2/2pPp3/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,13,17,2
A56,"Benoni Defense: Czech Benoni Defense",rnbqkb1r/pp1p1ppp/5n2/2pPp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq e6 0 4,13,17,2
A62,"Benoni Defense: Fianchetto Variation",rnbq1rk1/pp3pbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R w KQ - 4 9,11,12,14
A62,"Benoni Defense: Fianchetto Variation",rnbqkb1r/pp1p1ppp/5n2/2pP4/8/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 5,8,7,14
